manufacturer,title,price
DAngelico,Deluxe DC Satin Brown  B-Stock,"£1,298"
Harley Benton,EX-76 Classic AN B-Stock,£216
Squier,CV 50s Tele MN BB B-Stock,£322
Harley Benton,CST-24T Paradise Flame B-Stock,£202
Harley Benton,SC-Custom Plus EMG FR  B-Stock,£451
Charvel,Pro-Mod DK22 SSS 2PT B B-Stock,£799
Larry Carlton,S7FM NT B-Stock,£411
Larry Carlton,S7 AWH 2nd Gen B-Stock,£455
Harley Benton,Fusion-III HSH Roasted B-Stock,£285
Harley Benton,Fusion-T HH Roasted DB B-Stock,£245
Fender,Player Series Strat HS B-Stock,£629
Harley Benton,RB-612CS Classic Serie B-Stock,£221
Squier,Tele 40th Anniv SM B-Stock,£372
Harley Benton,Fusion-T HH Roasted SP B-Stock,£229
Solar Guitars,S1.6 HLB B-Stock,£838
Fender,Player Series Tele MN  B-Stock,£619
Harley Benton,ST-20HSS LH SBK B-Stock,£88
Harley Benton,Dullahan-FT 24 BKS B-Stock,£250
Charvel,Pro-Mod So-Cal Style 1 B-Stock,£666
Harley Benton,CST-24HB Charcoal Flam B-Stock,£208
Yamaha,Revstar RSS20 Hot Merl B-Stock,£635
Schecter,Sun Valley Super Shred B-Stock,£819
Harley Benton,Fusion-III HSS Roasted B-Stock,£299
ESP,LTD EC-1000 BP BLKNB B-Stock,£829
Harley Benton,Amarok-7 BKBL Flame Bu B-Stock,£429
Solar Guitars,S1.6APB B-Stock,"£1,090"
Harley Benton,Fusion-III HH Roasted  B-Stock,£295
Yamaha,Pacifica 612V II FM ID B-Stock,£666
Sterling by Music Man,Cutlass CT50HSS Daphne B-Stock,£625
Gretsch,G5222 EMTC D.Jet BT V- B-Stock,£397
Harley Benton,Fusion-T HH HT LH EB B B-Stock,£246
Harley Benton,CST-24T P90 Black Flam B-Stock,£199
Harley Benton,Fusion-III HSS Roasted B-Stock,£309
Harley Benton,HB JA-60 OW B-Stock,£138
Epiphone,Casino VS B-Stock,£482
Harley Benton,Fusion-III HSH EB FCB B-Stock,£246
Harley Benton,MR-Modern PWH B-Stock,£217
Harley Benton,Amarok BT LH BKNT Flam B-Stock,£377
Larry Carlton,L7 BK B-Stock,£455
Harley Benton,SC-550 Plus EMG FTF B-Stock,£327
Yamaha,Revstar RSS02T Sunset  B-Stock,£595
Harley Benton,Fusion-III HH EB OCT B-Stock,£229
Epiphone,Billie Joe Armstrong L B-Stock,£283
Harley Benton,Fusion-III HH HT Roast B-Stock,£283
Squier,Affinity Tele MN 3- B-Stock,£178
Fender,Player Ser Strat FR HS B-Stock,£685
Larry Carlton,S7 Vintage AWH B-Stock,£438
Ibanez,FLATV1-BK Josh Smith,"£1,880"
ESP,LTD TE 1000 Snow White B-Stock,"£1,073"
Harley Benton,Fusion-III HSH LH Roas B-Stock,£297
Harley Benton,Fusion-III HSH EB FPU B-Stock,£220
Fender,Dave Murray Strat 2TSB B-Stock,£985
Larry Carlton,L7 GT B-Stock,£455
Harley Benton,SC-550 II DFB B-Stock,£221
Kramer Guitars,Striker Figured HSS Wi B-Stock,£298
Squier,Affinity Strat FSR H H B-Stock,£178
Schecter,Banshee GT FR S SCB B-Stock,"£1,099"
Harley Benton,EX-76 Classic GHW AN B-Stock,£247
Harley Benton,SC-Custom II Active Vi B-Stock,£212
Squier,40th Anniv. Strat LPB B-Stock,£288
Yamaha,Pacifica 112V UBL RL B-Stock,£248
Epiphone,Emily Wolfe Sheraton S B-Stock,£679
Ibanez,AZ47P1QM-BIB B-Stock,"£1,075"
Harley Benton,SC-Special Faded White B-Stock,£176
Harley Benton,SC-550 II Gotoh AFB B-Stock,£261
Harley Benton,Amarok-7 BKRD Quilted  B-Stock,£491
Harley Benton,ST-62CC RW Inca Silver B-Stock,£111
Harley Benton,TE-70RW Deluxe B-Stock,£138
Danelectro,56 Baritone Black Meta B-Stock,£519
Harley Benton,Fusion-III HSS Roasted B-Stock,£292
Squier,CV 60s Custom Tele B-Stock,£311
Harley Benton,Aeolus Bengal Flame B-Stock,£283
Harley Benton,Fusion-III HH EB PSP B-Stock,£220
Guild,Starfire I DC EG w/Vib B-Stock,£442
Epiphone,Les Paul Studio Wine R B-Stock,£366
Ibanez,RGRT421-WK B-Stock,£399
Harley Benton,TE-40 TBK Deluxe Serie B-Stock,£101
Harley Benton,DC-60 Junior HPM B-Stock,£155
Harley Benton,SC-200BK Mini B-Stock,£78
Harley Benton,Fusion-T HH HT Roasted B-Stock,£229
Ibanez,AZES40-MGR B-Stock,£255
Harley Benton,SC-Custom II Lemon Fla B-Stock,£190
Harley Benton,DC-Junior FAT Benton B B-Stock,£143
Harley Benton,MS-60 Vintage White B-Stock,£132
Danelectro,66-12 3 Tone Sunburst B-Stock,£859
Harley Benton,Extreme-76 BK Classic  B-Stock,£123
Evh,Wolfgang WG Std QM TA B-Stock,£455
PRS,SE Hollowbody II DC B-Stock,£695
Harley Benton,DC-60 Junior Faded Che B-Stock,£155
Charvel,Angel Vivaldi DK24-7 N B-Stock,"£1,111"
Cort,G 300 Pro Vivid Burgun B-Stock,£495
Harley Benton,JA-60CC Lake Placid Bl B-Stock,£146
Harley Benton,EX-84 Modern WH B-Stock,£246
Harley Benton,SC-Custom II Honey Bur B-Stock,£212
Harley Benton,DC-600 VI Vintage Seri B-Stock,£172
manufacturer,title,price
Harley Benton,SC-Custom II Ocean Fla B-Stock,£194
Traveler Guitar,LTD EC-1 Snow White B-Stock,£662
Charvel,Pro-Mod SC ST2 HH HT S B-Stock,£729
Harley Benton,CST-24T Black Cherry F B-Stock,£203
Harley Benton,SC-400LH SBK Classic S B-Stock,£98
Harley Benton,TE-80 NT Deluxe Series B-Stock,£146
Harley Benton,CST-24T Emerald Flame B-Stock,£221
Harley Benton,Fusion-T HH HT EB PSP B-Stock,£239
Epiphone,Slash AFD LP Performan B-Stock,£273
Harley Benton,TE-69TL Hot Rod NT Roa B-Stock,£176
Harley Benton,ST-90SA Swamp Ash DLX  B-Stock,£138
Charvel,Pro-Mod DK24 HH 2PT CM B-Stock,£777
Ibanez,GRG170DX-BKN B-Stock,£214
Harley Benton,SC-200LH BK Student Se B-Stock,£98
Yamaha,Pacifica 611HFM RB B-Stock,£577
Squier,Affinity Strat FSR H H B-Stock,£192
Harley Benton,Fusion-III HSH EB FCH B-Stock,£230
Harley Benton,TE-62CC IS B-Stock,£123
Yamaha,Revstar RSS20 Swift Bl B-Stock,£633
Ibanez,RGRTB621-BKF B-Stock,£922
Harley Benton,TE-62DB CAR B-Stock,£132
Harley Benton,SC-450Plus CB Vintage  B-Stock,£164
Yamaha,Revstar RSS20 Black B-Stock,£633
Ibanez,RG370AHMZ-BMTStandard B-Stock,£455
Harley Benton,Fusion-III HH HT Roast B-Stock,£274
Fender,Mustang 90 BMM B-Stock,£492
Ibanez,ATZ10P-STM Andy Timmon B-Stock,"£1,139"
Ibanez,RGIB21-BK B-Stock,£644
Kramer Guitars,Baretta Special Purple B-Stock,£165
Harley Benton,TE-90FLT Black Blast B-Stock,£146
Gretsch,G5422G-12 Electromatic B-Stock,£769
Harley Benton,SC-Junior Vintage Sunb B-Stock,£164
Squier,Affinity Strat B-Stock,£196
Ibanez,SEW761FM-NTF B-Stock,£644
Gretsch,G5420T Electromatic AM B-Stock,£615
Harley Benton,R-457MN WH Fanfret B-Stock,£155
Ibanez,Q54-SFM B-Stock,£793
Harley Benton,MR-Modern SB B-Stock,£212
Harley Benton,TE-90FLT VW Deluxe Ser B-Stock,£146
Squier,Bullet Strat HS B-Stock,£133
Squier,Strat Pack SSS BSB B-Stock,£205
ESP,Viper-201B Baritone Bl B-Stock,£409
Traveler Guitar,EG-1 Custom V2 Gloss B B-Stock,£563
PRS,SE Tremonti Custom CA B-Stock,£743
Yamaha,Pacifica 120H BK B-Stock,£264
Ibanez,AG95QA-DBS B-Stock,£614
Fender,Vintera 60s Jaguar Mod B-Stock,£929
Ibanez,RG631ALF-BCM B-Stock,£799
Harley Benton,ST-20LH BK Standard Se B-Stock,£63
Epiphone,SG Custom Ebony LH B-Stock,£424
Ibanez,RGD71ALPA-CKF B-Stock,"£1,164"
Harley Benton,DC-200 BK Student Seri B-Stock,£72
Squier,CV 70s Jaguar LRL 3 B-Stock,£348
Harley Benton,TE-90FLT SB Deluxe Ser B-Stock,£146
Ibanez,AZES31-VM B-Stock,£248
Blackstar,Carry On ST Travel Gui B-Stock,£147
Harley Benton,ST-62LH BK Vintage B-Stock,£123
ESP,LTD TE-200 Maple STBC B-Stock,£339
Yamaha,Pacifica 612V II X MSB B-Stock,£666
Epiphone,Billie Joe Armstrong L B-Stock,£407
Ibanez,RGD7521PB-DSF B-Stock,£684
Ibanez,GRG140-WH B-Stock,£222
Epiphone,Les Paul Standard 60´s B-Stock,£425
Harley Benton,RG-Junior BK LH B-Stock,£72
Harley Benton,Extreme-84 Progressive B-Stock,£155
Traveler Guitar,Electric Ultra Light B B-Stock,£345
Ibanez,AS93FM-TCD B-Stock,£555
Guild,Starfire I Jet 90 Sati B-Stock,£407
Ibanez,RG421HPAH-BWB B-Stock,£739
ESP,LTD EC-1000T CTM FM VS B-Stock,"£1,285"
Ibanez,GRG131DX-BKF B-Stock,£205
BC Rich,Shredzilla Pro Archtop B-Stock,"£1,050"
Sterling by Music Man,SR50 Stingray Firemist B-Stock,£685
Ibanez,AS53-TKF B-Stock,£298
Solar Guitars,E2.7C B-Stock,£742
Harley Benton,SC-550LH II Gotoh AFB B-Stock,£283
ESP,LTD EC-256 Snow White B-Stock,£384
Schecter,Aaron Marshall AM-6 AJ B-Stock,"£1,329"
Squier,Aff. Strat HSS MN P B-Stock,£264
Harley Benton,EX-84 LH Modern WH B-Stock,£221
Harley Benton,ST-70RW Deluxe B-Stock,£146
ESP,E-II Eclipse FT FM TSB B-Stock,"£1,990"
Godin,Radiator Bourbon Burst B-Stock,£699
ESP,LTD SN-1000FR Snow Whi B-Stock,"£1,159"
ESP,LTD SN-200HT CHMS B-Stock,£411
Mooer,GTRS Guitars Prof. 800 B-Stock,£715
Harley Benton,ST-20LH SB B-Stock,£72
Squier,Contemp Strat Special  B-Stock,£322
Legator,N7FP Iris Fade B-Stock,£709
ESP,LTD EC-1000 QM STPSB B-Stock,"£1,074"
Schecter,PT Pro Trans Blue Burs B-Stock,£709
Jackson,SLX DX Soloist X Serie B-Stock,£575
Cort,G 250 Champaign Gold B-Stock,£181
Ibanez,RG320EXZ-BKF B-Stock,£415
Fender,Vintera 70s Tele Custo B-Stock,£798
Schecter,Demon-7 Crimson Red Bu B-Stock,£514
Traveler Guitar,Travelcaster Deluxe B-Stock,£267
Jackson,SoCal Misha Mansoor 2P B-Stock,"£1,769"
DAngelico,DLX SS Baritone Satin  B-Stock,"£1,555"
Schecter,Rob Scallon C-7 SDR B-Stock,"£1,239"
